Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Jungle Sling 1251,Himalayan Flavors,"Vodka, Filter Kaapi, Orange Juice, Lime Juice","Combine Vodka, Filter Kaapi, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Soy Como Soy (Delhi)
Masala Mule 1252,South Inspired,"Rum, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Rum, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Monkey Bar (Delhi)
Golden Martini 1253,Twisted Classics,"Brandy, Kokum, Lime Juice, Lime Juice","Combine Brandy, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Rose Petals.",Rose Petals,Coupe,Grumps (Chennai)
Desi Punch 1254,Tropical,"Vodka, Jaggery, Soda, Lime Juice","Combine Vodka, Jaggery, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Coffee Beans.",Coffee Beans,Martini Glass,Muro (Mumbai)
Emerald Tonic 1255,The Icons,"Brandy, Cardamom, Orange Juice, Lime Juice","Combine Brandy, Cardamom, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Social (Gurgaon)
Cool Punch 1256,The Icons,"Gin, Masala Chai, Orange Juice, Lime Juice","Combine Gin, Masala Chai, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Olterra (Chennai)
Silver Sling 1257,The Icons,"Tequila, Ginger, Orange Juice, Lime Juice","Combine Tequila, Ginger, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Ekaa (Kolkata)
Rustic Punch 1258,Tropical,"Whisky, Tamarind, Lime Juice, Lime Juice","Combine Whisky, Tamarind, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Olterra (Hyderabad)
Monsoon Sour 1259,Himalayan Flavors,"Gin, Kokum, Coconut Water, Lime Juice","Combine Gin, Kokum, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,Cal-On (Hyderabad)
Urban Mule 1260,South Inspired,"Brandy, Tamarind, Orange Juice, Lime Juice","Combine Brandy, Tamarind, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,The Glass Onion (Chennai)
Ruby Sour 1261,Savory & Bold,"Vodka, Himalayan Honey, Ginger Ale, Lime Juice","Combine Vodka, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Petisco (Kolkata)
Desi Smash 1262,Himalayan Flavors,"Mezcal, Filter Kaapi, Coconut Water, Lime Juice","Combine Mezcal, Filter Kaapi, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Slow Tide (Goa)
Temple Tonic 1263,Savory & Bold,"Tequila, Jaggery, Cranberry Juice, Lime Juice","Combine Tequila, Jaggery, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Ping’s (Pune)
Midnight Collins 1264,Signature,"Tequila, Filter Kaapi, Sugar Syrup, Lime Juice","Combine Tequila, Filter Kaapi, and Sugar Syrup in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Ekaa (Goa)
Sunset Fizz 1265,Himalayan Flavors,"Brandy, Saffron, Sugar Syrup, Lime Juice","Combine Brandy, Saffron, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Jamming Goat (Bangalore)
Urban Tonic 1266,Tropical,"Mezcal, Masala Chai, Soda, Lime Juice","Combine Mezcal, Masala Chai, and Soda in a shaker with ice. Shake well and strain into a Martini Glass. Top with Mint Sprig.",Mint Sprig,Martini Glass,Petisco (Noida)
Midnight Mule 1267,Signature,"Gin, Ginger, Orange Juice, Lime Juice","Combine Gin, Ginger, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,PCO (Mumbai)
Spicy Mule 1268,Himalayan Flavors,"Vodka, Curry Leaves, Coconut Water, Lime Juice","Combine Vodka, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Dried Chilli.",Dried Chilli,Jam Jar,Avartana (Chennai)
Rustic Mule 1269,Twisted Classics,"Rum, Masala Chai, Cranberry Juice, Lime Juice","Combine Rum, Masala Chai, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Muro (Delhi)
Golden Mule 1270,Signature,"Rum, Betel Leaf, Sugar Syrup, Lime Juice","Combine Rum, Betel Leaf, and Sugar Syrup in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Native (Bangalore)
Desi Punch 1271,Tropical,"Rum, Aam Panna, Agave Nectar, Lime Juice","Combine Rum, Aam Panna, and Agave Nectar in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,ZLB 23 (Pune)
Sunset Martini 1272,Twisted Classics,"Tequila, Filter Kaapi, Lime Juice, Lime Juice","Combine Tequila, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Conversation Room (Kolkata)
Coastal Mojito 1273,South Inspired,"Tequila, Indian Lime Pickle, Agave Nectar, Lime Juice","Combine Tequila, Indian Lime Pickle, and Agave Nectar in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Avartana (Kolkata)
Temple Sour 1274,Twisted Classics,"Gin, Cardamom, Tonic Water, Lime Juice","Combine Gin, Cardamom, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Cobbler & Crew (Delhi)
Temple Sour 1275,Himalayan Flavors,"Vodka, Kokum, Orange Juice, Lime Juice","Combine Vodka, Kokum, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Dali & Gala (Bangalore)
Golden Fizz 1276,Savory & Bold,"Gin, Curry Leaves, Lime Juice, Lime Juice","Combine Gin, Curry Leaves, and Lime Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Avartana (Goa)
Sunset Mojito 1277,Himalayan Flavors,"Rum, Betel Leaf, Agave Nectar, Lime Juice","Combine Rum, Betel Leaf, and Agave Nectar in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Lair (Chennai)
Jungle Collins 1278,Savory & Bold,"Mezcal, Filter Kaapi, Agave Nectar, Lime Juice","Combine Mezcal, Filter Kaapi, and Agave Nectar in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Mint Sprig.",Mint Sprig,Tiki Glass,Grumps (Hyderabad)
Sunrise Smash 1279,South Inspired,"Vodka, Jaljeera, Orange Juice, Lime Juice","Combine Vodka, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Avartana (Kolkata)
Sunrise Mojito 1280,Himalayan Flavors,"Brandy, Tamarind, Tonic Water, Lime Juice","Combine Brandy, Tamarind, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Masque (Kolkata)
Jungle Sour 1281,Savory & Bold,"Gin, Rose Syrup, Ginger Ale, Lime Juice","Combine Gin, Rose Syrup, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,Jamming Goat (Chennai)
Monsoon Mojito 1282,Savory & Bold,"Brandy, Tamarind, Coconut Water, Lime Juice","Combine Brandy, Tamarind, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Bar Kin-Rü (Chennai)
Desi Smash 1283,South Inspired,"Gin, Rose Syrup, Soda, Lime Juice","Combine Gin, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Bar Kin-Rü (Chennai)
Ruby Sling 1284,The Icons,"Brandy, Ginger, Sugar Syrup, Lime Juice","Combine Brandy, Ginger, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Izumi (Goa)
Coastal Fizz 1285,Signature,"Tequila, Black Salt, Soda, Lime Juice","Combine Tequila, Black Salt, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Elephant & Co (Gurgaon)
Ruby Tonic 1286,The Icons,"Tequila, Aam Panna, Sugar Syrup, Lime Juice","Combine Tequila, Aam Panna, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lemon Peel.",Lemon Peel,Wine Glass,Malaka Spice (Goa)
Golden Smash 1287,South Inspired,"Gin, Curry Leaves, Ginger Ale, Lime Juice","Combine Gin, Curry Leaves, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Slow Tide (Chennai)
Temple Tonic 1288,Twisted Classics,"Mezcal, Filter Kaapi, Orange Juice, Lime Juice","Combine Mezcal, Filter Kaapi, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Coffee Beans.",Coffee Beans,Rocks Glass,The Bombay Canteen (Chennai)
Temple Fizz 1289,Twisted Classics,"Vodka, Filter Kaapi, Orange Juice, Lime Juice","Combine Vodka, Filter Kaapi, and Orange Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,BrewDog (Goa)
Sunrise Mojito 1290,The Icons,"Gin, Cardamom, Ginger Ale, Lime Juice","Combine Gin, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Curry Leaf.",Curry Leaf,Tiki Glass,Pandan Club (Hyderabad)
Sunset Mojito 1291,Twisted Classics,"Vodka, Masala Chai, Ginger Ale, Lime Juice","Combine Vodka, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Jamming Goat (Gurgaon)
Rustic Punch 1292,The Icons,"Gin, Indian Lime Pickle, Lime Juice, Lime Juice","Combine Gin, Indian Lime Pickle, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Masque (Mumbai)
Royal Punch 1293,Tropical,"Rum, Aam Panna, Cranberry Juice, Lime Juice","Combine Rum, Aam Panna, and Cranberry Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Bira 91 Taproom (Noida)
Silver Mule 1294,Twisted Classics,"Tequila, Aam Panna, Pineapple Juice, Lime Juice","Combine Tequila, Aam Panna, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Dried Chilli.",Dried Chilli,Copper Mug,Windmills (Noida)
Coastal Mojito 1295,Signature,"Vodka, Betel Leaf, Pineapple Juice, Lime Juice","Combine Vodka, Betel Leaf, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Hideaway (Delhi)
Sunset Tonic 1296,Savory & Bold,"Vodka, Curry Leaves, Pineapple Juice, Lime Juice","Combine Vodka, Curry Leaves, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Roxie (Gurgaon)
Masala Collins 1297,Signature,"Tequila, Saffron, Agave Nectar, Lime Juice","Combine Tequila, Saffron, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Indian Accent (Noida)
Jungle Collins 1298,South Inspired,"Brandy, Himalayan Honey, Soda, Lime Juice","Combine Brandy, Himalayan Honey, and Soda in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Sorano (Mumbai)
Golden Mule 1299,Twisted Classics,"Vodka, Ginger, Cranberry Juice, Lime Juice","Combine Vodka, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Monkey Bar (Pune)
Coastal Mule 1300,Twisted Classics,"Rum, Jaljeera, Coconut Water, Lime Juice","Combine Rum, Jaljeera, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Cock & Bull (Noida)
Urban Tonic 1301,Tropical,"Whisky, Indian Lime Pickle, Coconut Water, Lime Juice","Combine Whisky, Indian Lime Pickle, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,KooX (Delhi)
Ruby Collins 1302,Tropical,"Whisky, Aam Panna, Orange Juice, Lime Juice","Combine Whisky, Aam Panna, and Orange Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Monkey Bar (Gurgaon)
Royal Smash 1303,Twisted Classics,"Whisky, Himalayan Honey, Orange Juice, Lime Juice","Combine Whisky, Himalayan Honey, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Pandan Club (Kolkata)
Spicy Mojito 1304,The Icons,"Mezcal, Jaljeera, Sugar Syrup, Lime Juice","Combine Mezcal, Jaljeera, and Sugar Syrup in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,KooX (Mumbai)
Sunset Fizz 1305,Savory & Bold,"Mezcal, Rose Syrup, Soda, Lime Juice","Combine Mezcal, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,The Bombay Canteen (Pune)
Royal Sling 1306,Tropical,"Vodka, Rose Syrup, Orange Juice, Lime Juice","Combine Vodka, Rose Syrup, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,Ekaa (Noida)
Monsoon Fizz 1307,Savory & Bold,"Whisky, Ginger, Tonic Water, Lime Juice","Combine Whisky, Ginger, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Jamming Goat (Mumbai)
Masala Punch 1308,Tropical,"Whisky, Betel Leaf, Tonic Water, Lime Juice","Combine Whisky, Betel Leaf, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Pandan Club (Hyderabad)
Urban Martini 1309,Savory & Bold,"Vodka, Curry Leaves, Pineapple Juice, Lime Juice","Combine Vodka, Curry Leaves, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Roxie (Mumbai)
Temple Tonic 1310,The Icons,"Rum, Betel Leaf, Lime Juice, Lime Juice","Combine Rum, Betel Leaf, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Dried Chilli.",Dried Chilli,Copper Mug,Conversation Room (Bangalore)
Silver Collins 1311,Tropical,"Tequila, Filter Kaapi, Agave Nectar, Lime Juice","Combine Tequila, Filter Kaapi, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Grumps (Goa)
Coastal Martini 1312,The Icons,"Mezcal, Cumin, Tonic Water, Lime Juice","Combine Mezcal, Cumin, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Nutcase Etc (Pune)
Spicy Martini 1313,Tropical,"Gin, Masala Chai, Ginger Ale, Lime Juice","Combine Gin, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lime Wheel.",Lime Wheel,Jam Jar,Cock & Bull (Bangalore)
Temple Sour 1314,Tropical,"Vodka, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Vodka, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Rose Petals.",Rose Petals,Martini Glass,Bira 91 Taproom (Noida)
Rustic Tonic 1315,South Inspired,"Vodka, Aam Panna, Cranberry Juice, Lime Juice","Combine Vodka, Aam Panna, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,KooX (Chennai)
Masala Collins 1316,Savory & Bold,"Whisky, Curry Leaves, Coconut Water, Lime Juice","Combine Whisky, Curry Leaves, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Avartana (Pune)
Jungle Fizz 1317,Himalayan Flavors,"Whisky, Himalayan Honey, Sugar Syrup, Lime Juice","Combine Whisky, Himalayan Honey, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Dried Chilli.",Dried Chilli,Copper Mug,Sorano (Bangalore)
Coastal Mule 1318,The Icons,"Brandy, Tamarind, Pineapple Juice, Lime Juice","Combine Brandy, Tamarind, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,KooX (Kolkata)
Rustic Martini 1319,The Icons,"Rum, Curry Leaves, Lime Juice, Lime Juice","Combine Rum, Curry Leaves, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Bira 91 Taproom (Hyderabad)
Masala Mule 1320,Tropical,"Gin, Jaggery, Orange Juice, Lime Juice","Combine Gin, Jaggery, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Room Two (Mumbai)
Monsoon Mule 1321,The Icons,"Rum, Ginger, Orange Juice, Lime Juice","Combine Rum, Ginger, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Hoots (Mumbai)
Ruby Collins 1322,South Inspired,"Vodka, Cardamom, Coconut Water, Lime Juice","Combine Vodka, Cardamom, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,Bira 91 Taproom (Bangalore)
Jungle Smash 1323,Himalayan Flavors,"Vodka, Cumin, Coconut Water, Lime Juice","Combine Vodka, Cumin, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Sorano (Goa)
Cool Sling 1324,The Icons,"Vodka, Black Salt, Pineapple Juice, Lime Juice","Combine Vodka, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Orange Twist.",Orange Twist,Martini Glass,Hideaway (Bangalore)
Ruby Mojito 1325,Savory & Bold,"Vodka, Masala Chai, Soda, Lime Juice","Combine Vodka, Masala Chai, and Soda in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Social (Pune)
Cool Mule 1326,Twisted Classics,"Rum, Filter Kaapi, Orange Juice, Lime Juice","Combine Rum, Filter Kaapi, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,Monkey Bar (Mumbai)
